Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Yukon,2015,20.05,79.95,11.87,2.5,1.56,0.18,9.11,1.7,8.35,0.71,1.25,5.32,3.08,2.91,2.87,14.92,3.57,0.29,1.35,5.42,8.93,0.54,3.2,1.43,24.9
Yukon,2016,23.37,76.63,15.08,2.34,1.49,0.19,12.39,1.62,8.41,0.76,1.31,5.32,3.34,2.87,2.82,14.28,3.08,0.25,1.28,5.2,8.58,0.53,3.06,1.35,23.37
Yukon,2017,23.89,76.11,12.23,2.23,1.48,0.19,9.55,1.61,11.79,0.76,1.35,5.3,3.8,2.73,2.87,14.05,2.85,0.24,1.29,5.07,8.66,0.53,3.06,1.31,23.01
Yukon,2018,23.17,76.83,9.31,2.15,1.46,0.18,6.8,1.59,13.93,0.66,1.82,5.33,4.26,2.64,2.9,14.14,3.01,0.22,1.24,4.91,8.65,0.54,3.11,1.3,22.76
Northwest Territories,2010,48.41,51.59,41.01,1.62,10.57,0.34,39.18,1.39,7.32,0.18,1.96,3.25,5.27,1.81,2.4,7.28,2.19,0.75,1.45,4,5.58,0.26,1.75,1.04,12.62
Northwest Territories,2011,45.47,54.53,38.95,1.73,10.34,0.37,36.84,1.41,6.52,0.33,2.11,3.4,5.7,1.95,2.5,7.59,2.31,0.75,1.59,4.29,5.74,0.24,1.78,1.09,13.47
Northwest Territories,2012,38.98,61.02,31.13,1.98,11.7,0.41,28.99,1.57,7.67,0.35,2.76,3.69,5.91,2.18,2.73,8.63,2.44,0.8,1.59,4.99,6.33,0.27,1.95,1.2,15.55
Northwest Territories,2013,38.44,61.56,29.69,2.18,10.36,0.44,27.53,1.6,8.55,0.33,2.67,3.98,5.69,2.65,2.77,8.47,2.25,0.87,1.6,6.44,6.43,0.31,2.15,1.22,14.08
Northwest Territories,2014,40.75,59.25,31.8,1.97,10.46,0.42,29.53,1.75,8.73,0.32,2.56,3.97,6.01,2.35,2.67,7.99,2.25,0.78,1.46,5.99,6.23,0.25,1.79,1.24,13.71
Northwest Territories,2015,37.35,62.65,25.39,2.01,5.84,0.45,23.15,1.68,11.73,0.34,2.65,4.21,6.35,2.39,2.78,8.43,2.27,0.77,1.52,6.08,6.79,0.23,2.02,1.27,14.89
Northwest Territories,2016,33.05,66.95,21.71,2.09,5.08,0.47,19.26,1.76,11.1,0.46,3.13,4.08,7.25,2.49,3.03,8.97,2.53,0.79,1.63,6.37,7.19,0.2,2.07,1.35,15.87
Northwest Territories,2017,33.05,66.95,24.75,1.99,1.83,0.49,22,1.78,8.02,0.76,2.96,4.15,7.2,2.36,3.06,8.98,2.53,0.78,1.63,6.39,7.26,0.21,2.05,1.37,16.01
Northwest Territories,2018,33.21,66.79,24.46,1.86,2.28,0.48,21.55,1.78,8.48,0.92,2.93,4.08,8.02,2.19,3.04,8.7,2.55,0.74,1.51,6.56,7.14,0.21,2.11,1.32,15.69
